Group,Item,Buy_quantity,Unit,Specification,Where_used,Quantity_basis,Notes,Source
Fasteners and adhesives,3/8 x 1-1/2-inch dowels,50,dowels,Fluted hardwood joining dowels,Required bed-cabinet reinforced joints,22 required; purchase allowance rounded to 50,Six at headboard/top-bottom joints plus sixteen at side joints. These do not replace shelf pins.,"https://go.rockler.com/tech/horizontal-murphy-bed-inst-25.pdf pp7,9-10"
Fasteners and adhesives,#8 x 1-1/4-inch wood screws,25,screws,Wood screws suitable for the permanent stop,Bed permanent stop,At least 4 required; purchase allowance rounded to 25,Not supplied in kit. Do not omit these simply because they are absent from the p7 shopping illustration.,https://go.rockler.com/tech/horizontal-murphy-bed-inst-25.pdf p18
Fasteners and adhesives,#6 x 1-1/4-inch wood screws,50,screws,Pilot-drilled wood screws for 1/2-inch plywood box corner joints,One LEFT drawer box,"Retained 50-screw package allowance, not minimum or final fastener count",Final screw positions and need depend on drawer joinery; predrill to avoid splitting the thin plywood edges.,Project bed-plus-left-cabinet design
Fasteners and adhesives,#8 x 1-inch washer-head wood screws,25,screws,Washer-head wood screws; do not confuse with pull machine screws,Attach one false drawer front from inside box,4 planned; purchase allowance rounded to 25,Current inner front is 1/2 inch and false front 3/4 inch. Check actual stack and penetration before installation.,Project bed-plus-left-cabinet design
Fasteners and adhesives,#6 x 3/4-inch panel-attachment screws,100,screws,Pan/washer-head wood screws,One LEFT cabinet back and drawer bottom where final joinery provides backing,"Retained 100-screw package allowance, not minimum or final fastener count","Only fasten where a completed rabbet, groove or suitable backing supports the joint. Back/bottom joinery is pending; this row is not a fastening layout.",Project bed-plus-left-cabinet design
Fasteners and adhesives,Slide mounting screws,0,extra packs if supplied with slides,Use fasteners specified by the selected slide manufacturer,One slide pair,Inventory check; about 12 screws reserved in assembly planning,"Final required count comes from the selected slide manufacturer, not this allowance. If not supplied, obtain the specified set before assembly. For 1/2-inch drawer walls, do not use screws long enough to protrude; #6 x 1/2-inch pan-head is a candidate only if approved for the selected slides.",Project bed-plus-left-cabinet design
Fasteners and adhesives,Wood glue,1,16 fl oz bottle,Interior woodworking PVA glue suitable for plywood and hardwood dowels,"Bed dowels, LEFT cabinet fixed joints and one drawer box",One shared bottle; package allowance,"Glue bare wood, not finished surfaces. Keep adjustable shelves unglued.","https://go.rockler.com/tech/horizontal-murphy-bed-inst-25.pdf pp7,9-10; project cabinetry"
Fasteners and adhesives,Removable threadlocker,1,small bottle,Removable thread-locking liquid suitable for M5 steel fasteners,M5 saddle-lock screws Z and nuts EE,One bottle; manufacturer recommendation,Use according to threadlocker directions; do not substitute adhesive in the plywood threaded-insert holes.,https://go.rockler.com/tech/horizontal-murphy-bed-inst-25.pdf p15
Installation,Noncompressible shims,1,pack,Cabinet-installation shims,Level/plumb the bed and LEFT cabinet,One shared pack; site allowance,Bed must meet Rockler flush-to-wall/bracket installation requirements. A qualified installer determines shim quantity and acceptable shimming and required fastener embedment.,https://go.rockler.com/tech/horizontal-murphy-bed-inst-25.pdf pp11-12
Finish,Paintable wood filler,1,quart,"Sandable filler suitable for plywood edges, voids and screw holes",Navy-painted surfaces and exposed plywood edges,Shared finish package allowance,"Filler is cosmetic, not structural. This plan uses filled/sealed painted edges rather than assuming extra edge-band thickness.",Project bed-plus-left-cabinet design
Finish,Compatible wood primer,1,gallon,Primer suitable for veneer-core plywood and selected cabinet enamel,"Painted panels, cabinet back and exposed edges",289.1689 sq ft / 350 sq ft per gallon x 1 coat = 0.8262 gallon; round to 1 gallon,"Both faces plus all edges; main 188.9527 sq ft and left 100.2162 sq ft. Natural-finish drawer-box panels/bottom excluded. Check actual product coverage; keep glue surfaces bare and allow additional edge sealing if required.",Project bed-plus-left-cabinet design
Finish,Dark navy cabinet enamel,2,gallons,Durable cabinet/trim enamel; match approved #182B49 with a physical sample,Painted bed and LEFT cabinet,289.1689 sq ft / 350 sq ft per gallon x 2 coats = 1.6524 gallons; round to 2 gallons,"Color code describes the design, not a guaranteed paint formula. Verify the dry sample and chosen product coverage. Allowance is shared across both remaining assemblies, not a per-cabinet purchase.",Project bed-plus-left-cabinet design
Finish,Clear drawer-box finish,1,quart,Waterborne clear furniture finish compatible with plywood,One natural-finish drawer box and bottom,Retained optional package allowance,Optional if unfinished drawer boxes are preferred; do not coat slide bearing surfaces.,Project bed-plus-left-cabinet design
Finish,Sandpaper or sanding discs,3,packs,"120, 180 and 220 grit; one pack per grit, matched to sander",Surface and between-coat preparation,Shared consumable allowance,Follow the finish manufacturer sanding schedule; avoid sanding through face veneers.,Project bed-plus-left-cabinet design
Finish,Painting consumables,1,set,"Suitable brush/rollers, tray liners, masking tape, drop cloth, lint-free cloths and label-specified cleanup supplies",Primer and finish application,Shared consumable allowance,Use application tools and PPE appropriate for the selected coatings.,Project bed-plus-left-cabinet design
Optional alignment,Cabinet connector fasteners,4,matched sets if used,"Connector bolts/sleeve nuts sized for two measured plywood side panels, about 1-1/2 inches combined",Optional LEFT cabinet-to-bed alignment; one interface,Four optional sets; not structural restraint,"Not a substitute for wall restraints. Confirm allowed placement with Rockler/installer, clear of all mechanism hardware, before drilling additional bed-cabinet holes.",Project bed-plus-left-cabinet design
Check tools before buying,Drilling and doweling equipment,0,buy only if unavailable,"Drill; 3/8 doweling jig; bits 5/64, 1/8, 5/32, 3/16, 13/64, 5/16, 3/8, 27/64 inch; #8 countersink; depth stops; future 5 mm shelf-pin boring bit","Manual-specific pilot holes, dowels and shelf-pin work",Check owned/HackRVA tools,Some sizes are specified later in the instructions rather than on p7. Confirm actual stock and bit depth before boring.,"https://go.rockler.com/tech/horizontal-murphy-bed-inst-25.pdf pp7-12,17"
Check tools before buying,Assembly and installation tools,0,buy only if unavailable,8 mm Allen key; 3/8 nut driver/socket; Phillips driver; clamps; square; level; stud finder; tape; rubber mallet; safe step stool,Cabinet and kit assembly,Check owned/HackRVA tools,"Kit includes 4 mm and 5 mm Allen keys, not the 8 mm insert key. Do not use an impact driver.","https://go.rockler.com/tech/horizontal-murphy-bed-inst-25.pdf pp3,7-20"
Check tools before buying,CNC and safety equipment,0,buy only if unavailable,"HackRVA-approved cutters, collets and workholding; dust extraction; eye/hearing protection; coating-appropriate respiratory protection","Cutting, sanding and finishing",Check machine-operator requirements,"Final CNC tooling, feeds/speeds, toolpaths, training and machine time are not covered by this purchasing list.",Project bed-plus-left-cabinet design
